variant,run_id,method,category,k,seed,threshold_policy,image_auroc,pixel_auroc,aupro,aggregate_pixel_f1,aggregate_pixel_iou,mean_anomaly_mask_f1,mean_anomaly_mask_iou,mean_anomaly_mask_precision,mean_anomaly_mask_recall,git_commit,git_dirty,manifest_path,manifest_sha256,effective_execution_sha256,run_spec_sha256
crop512_o025_max,dinov2_multi__pcb1__fold0__k4__seed4880__crop512_o025_max,dinov2_multi,pcb1,4,4880,normal_q995,0.6049,0.9712161000333456,0.7980621095720102,0.527373261202764,0.3581174015850715,0.2898751562463699,0.20247815506969954,0.24309680531921374,0.4558957241762205,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,f7f4f079d6f0e0f9866a8676437de9897eab0b904cb5a5e73b66cf4c5221b682,60efed2321f9260587f6b8c3400fcfd24309710bb211fb12a2e812efe66cf2d8
crop512_o025_max,dinov2_multi__pcb2__fold0__k4__seed4880__crop512_o025_max,dinov2_multi,pcb2,4,4880,normal_q995,0.6522,0.9202381415105303,0.7541281604795883,0.16285006588794138,0.08864277371386727,0.23138563415063826,0.14402295379403873,0.17816724867655673,0.4302250025472809,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,20a0eb93f38ca5b23f120c81ffecfe26b8a22801b414e55a3cda8e22aef8aa00,89b3d284173a41dfe3add80b2d62418d9ca5411e7ece8ad831d207f30be99f04
crop512_o025_max,dinov2_multi__pcb3__fold0__k4__seed4880__crop512_o025_max,dinov2_multi,pcb3,4,4880,normal_q995,0.622970297029703,0.9156751367380694,0.7107441742299583,0.14192098171413584,0.07638048776045185,0.16601640631965467,0.09942434841982838,0.12968741653117,0.3027919166367879,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,6408e0117986ae8951b14b6c4d8ae3c531c545aa4f6d3660ee8d432862a803bf,50990f8c4f15ac9d5bead2708e8cd06c577f654744b2dea8653f5c6e3086e0eb
crop512_o025_max,dinov2_multi__pcb4__fold0__k4__seed4880__crop512_o025_max,dinov2_multi,pcb4,4,4880,normal_q995,0.6448514851485149,0.8818551312175243,0.7277299652258328,0.16424630307410598,0.08947077342082907,0.1782419171295833,0.10891965050609613,0.26914965034633076,0.18434804453390696,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,d99e7b2103d55edfad17eff45d4cfbd23cd83a96799e00ef9a0ed5b384c5ec74,5ae41e04db7ebd335f321a928202c11f2bd4f4d7fe95a873874a03f344056dc4
crop768_o000_max,dinov2_multi__pcb1__fold0__k4__seed4880__crop768_o000_max,dinov2_multi,pcb1,4,4880,normal_q995,0.6737,0.9897565198144738,0.9095209740774413,0.5687952158308321,0.39742405987066676,0.34361220408324056,0.2413475181650897,0.2653642244967293,0.6267734265037618,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,dbe86abd9655dd9c653734e3d5d0f14601ad8c9b39a543b912d58847283b0f6f,2dcf02d3fb5cd213f4891c05d5c76d92090e900e7b59f204a41de97e1d0e4709
crop768_o000_max,dinov2_multi__pcb2__fold0__k4__seed4880__crop768_o000_max,dinov2_multi,pcb2,4,4880,normal_q995,0.7282,0.9447338105753008,0.8208295292750749,0.19926665815131778,0.11065861530988544,0.2606491111209602,0.16330739945360215,0.1832894831994424,0.5586950464309166,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,e52d85d24155ea5cb8da49fac53c55009e2a918cc02cf72f8833c2d158351016,9f9c3cf2e8c29207bd69e13f1e56d0cc082a04fecc032c3284b12b1be5380328
crop768_o000_max,dinov2_multi__pcb3__fold0__k4__seed4880__crop768_o000_max,dinov2_multi,pcb3,4,4880,normal_q995,0.7043564356435643,0.9302175482994561,0.7444538821899459,0.19756828830311696,0.10961207962609473,0.21378830074431948,0.1327498232706301,0.17019665069930856,0.3885098392247964,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,74091faf0c384d074a2b65f6f55eb25e6e1f14b161f79708cd60babae95f875e,f1c44879569c8288abd4d9f7887d117e597edca83811dadd0a149cdaecea9e67
crop768_o000_max,dinov2_multi__pcb4__fold0__k4__seed4880__crop768_o000_max,dinov2_multi,pcb4,4,4880,normal_q995,0.7613861386138614,0.8888941980830927,0.7081728120012332,0.16967257744422393,0.09270066948311455,0.1951604912338421,0.1155752784785008,0.20478059667295695,0.2738546153891539,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,d2152b64948995cab724fadb14ccefa7e0621e4608d0e322b80a8069d6ac5baa,d49af46954849befae8e9236a7e88241da8c923b55e556b52d0082e109fa6567
crop768_o050_max,dinov2_multi__pcb1__fold0__k4__seed4880__crop768_o050_max,dinov2_multi,pcb1,4,4880,normal_q995,0.6645,0.989657646324146,0.9192008648852309,0.5637667823071082,0.39253150210014,0.3454170071577427,0.24224391112108223,0.26662049444984964,0.6387973583527021,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,495205ff28a913bb8cb88cd5acb881589836c88587d2900a2d123a59095d8e13,7dec170fd7a543cceac5cdb03118cd8e1aeab02621f8b7d95b30e1c4af65143f
crop768_o050_max,dinov2_multi__pcb2__fold0__k4__seed4880__crop768_o050_max,dinov2_multi,pcb2,4,4880,normal_q995,0.7586,0.9518414426266729,0.8516716532914425,0.20426166345363136,0.11374801066310979,0.2744168391953592,0.1729079645019025,0.19206677454958385,0.5918760003460758,ff4c07208278376b27a4954d560c715f51453c5e,False,data/manifests/visa_pcb_folds.csv,6fd011da63133ce0135df8ae336b42bd81d65db1586e77b2db3fb61a9914842e,9dbe79cd53e9f342689758ba9495e4b86bc70d82d3b07707650306ab1b972379,fbf48532fe8a7781a977bb59c46a4fc5ad0b1e08ec453917d27e539f4532c59d
