variant,method,k,seed,category,metric,mean,num_categories,aggregation,uncertainty_scope
crop512_o025_max,dinov2_multi,4,4880,macro,image_auroc,0.6312304455445544,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,image_auroc,0.6049,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,image_auroc,0.6522,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,image_auroc,0.622970297029703,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,image_auroc,0.6448514851485149,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,image_auroc,0.7169106435643564,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,image_auroc,0.6737,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,image_auroc,0.7282,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,image_auroc,0.7043564356435643,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,image_auroc,0.7613861386138614,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,image_auroc,0.8250133663366337,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,image_auroc,0.7493,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,image_auroc,0.8261,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,image_auroc,0.8631683168316832,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,image_auroc,0.8614851485148515,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,image_auroc,0.7219383663366337,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,image_auroc,0.6645,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,image_auroc,0.7586,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,image_auroc,0.7137623762376237,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,image_auroc,0.7508910891089109,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,pixel_auroc,0.9222461273748674,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,pixel_auroc,0.9712161000333456,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,pixel_auroc,0.9202381415105303,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,pixel_auroc,0.9156751367380694,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,pixel_auroc,0.8818551312175243,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,pixel_auroc,0.9384005191930809,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,pixel_auroc,0.9897565198144738,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,pixel_auroc,0.9447338105753008,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,pixel_auroc,0.9302175482994561,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,pixel_auroc,0.8888941980830927,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,pixel_auroc,0.9656295660881494,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,pixel_auroc,0.9952736259146708,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,pixel_auroc,0.9689470241375314,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,pixel_auroc,0.9685791043157778,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,pixel_auroc,0.9297185099846176,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,pixel_auroc,0.944886426508951,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,pixel_auroc,0.989657646324146,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,pixel_auroc,0.9518414426266729,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,pixel_auroc,0.93198429724253,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,pixel_auroc,0.9060623198424552,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,aupro,0.7476661023768474,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,aupro,0.7980621095720102,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,aupro,0.7541281604795883,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,aupro,0.7107441742299583,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,aupro,0.7277299652258328,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,aupro,0.7957442993859238,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,aupro,0.9095209740774413,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,aupro,0.8208295292750749,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,aupro,0.7444538821899459,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,aupro,0.7081728120012332,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,aupro,0.8595770310844605,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,aupro,0.9463168305730812,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,aupro,0.8625342043429329,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,aupro,0.8452415453957528,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,aupro,0.784215544026075,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,aupro,0.8188370684553979,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,aupro,0.9192008648852309,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,aupro,0.8516716532914425,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,aupro,0.7687967164015952,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,aupro,0.7356790392433231,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.2490976529697368,4,category_macro,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.527373261202764,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.16285006588794138,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.14192098171413584,1,within_category,descriptive_single_support_seed
crop512_o025_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.16424630307410598,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.2838256849323727,4,category_macro,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.5687952158308321,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.19926665815131778,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.19756828830311696,1,within_category,descriptive_single_support_seed
crop768_o000_max,dinov2_multi,4,4880,pcb4,aggregate_pixel_f1,0.16967257744422393,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,macro,aggregate_pixel_f1,0.32051700090171864,4,category_macro,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb1,aggregate_pixel_f1,0.5663686177969095,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb2,aggregate_pixel_f1,0.2138617962438034,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,aggregate_pixel_f1,0.25350617616998333,1,within_category,descriptive_single_support_seed
