run_id,method,category,k,seed,oracle_best_pixel_f1,oracle_best_pixel_iou,oracle_best_pixel_threshold,best_pixel_f1,best_pixel_iou,best_pixel_threshold
patchcore__pcb1__fold0__k1__seed4880,patchcore,pcb1,1,4880,0.40021795395722654,0.2501702997275204,0.6980319695580028,0.40021795395722654,0.2501702997275204,0.6980319695580028
patchcore__pcb1__fold0__k1__seed4881,patchcore,pcb1,1,4881,0.5243215565796211,0.3553088133240805,0.6714695416492958,0.5243215565796211,0.3553088133240805,0.6714695416492958
patchcore__pcb1__fold0__k1__seed4882,patchcore,pcb1,1,4882,0.5219042795644467,0.3530923419564845,0.6759549431838168,0.5219042795644467,0.3530923419564845,0.6759549431838168
patchcore__pcb1__fold0__k1__seed4883,patchcore,pcb1,1,4883,0.4831819925821716,0.3185497470489039,0.6905305528477447,0.4831819925821716,0.3185497470489039,0.6905305528477447
patchcore__pcb1__fold0__k1__seed4884,patchcore,pcb1,1,4884,0.45700424499696785,0.2961798459361736,0.6782223352480774,0.45700424499696785,0.2961798459361736,0.6782223352480774
patchcore__pcb1__fold0__k2__seed4880,patchcore,pcb1,2,4880,0.6455544933078394,0.47661902241044646,0.6042215908401867,0.6455544933078394,0.47661902241044646,0.6042215908401867
patchcore__pcb1__fold0__k2__seed4881,patchcore,pcb1,2,4881,0.5521019108280254,0.3813126869611121,0.6528668355218585,0.5521019108280254,0.3813126869611121,0.6528668355218585
patchcore__pcb1__fold0__k2__seed4882,patchcore,pcb1,2,4882,0.5155033813959424,0.3472580367887227,0.6554734119872058,0.5155033813959424,0.3472580367887227,0.6554734119872058
patchcore__pcb1__fold0__k2__seed4883,patchcore,pcb1,2,4883,0.5731417863835103,0.40168096655576957,0.6489642638049713,0.5731417863835103,0.40168096655576957,0.6489642638049713
patchcore__pcb1__fold0__k2__seed4884,patchcore,pcb1,2,4884,0.5532132362335505,0.38237371953373367,0.6544395159426968,0.5532132362335505,0.38237371953373367,0.6544395159426968
patchcore__pcb1__fold0__k4__seed4880,patchcore,pcb1,4,4880,0.6783774413498207,0.5132913606155999,0.5710141050488982,0.6783774413498207,0.5132913606155999,0.5710141050488982
patchcore__pcb1__fold0__k4__seed4881,patchcore,pcb1,4,4881,0.5538945712037765,0.383025027203482,0.6466538934091766,0.5538945712037765,0.383025027203482,0.6466538934091766
patchcore__pcb1__fold0__k4__seed4882,patchcore,pcb1,4,4882,0.6581609195402298,0.49049169093712525,0.5685290565929301,0.6581609195402298,0.49049169093712525,0.5685290565929301
patchcore__pcb1__fold0__k4__seed4883,patchcore,pcb1,4,4883,0.6507971656333038,0.48235680288856064,0.5719674001584547,0.6507971656333038,0.48235680288856064,0.5719674001584547
patchcore__pcb1__fold0__k4__seed4884,patchcore,pcb1,4,4884,0.5492976588628763,0.37864256731833273,0.653592017648738,0.5492976588628763,0.37864256731833273,0.653592017648738
patchcore__pcb2__fold0__k1__seed4880,patchcore,pcb2,1,4880,0.1679936305732484,0.09169926119078661,0.6274988071559227,0.1679936305732484,0.09169926119078661,0.6274988071559227
patchcore__pcb2__fold0__k1__seed4881,patchcore,pcb2,1,4881,0.23197060174552134,0.13120290984671343,0.626090462193797,0.23197060174552134,0.13120290984671343,0.626090462193797
patchcore__pcb2__fold0__k1__seed4882,patchcore,pcb2,1,4882,0.16134786917740335,0.0877533419577404,0.6282140681421686,0.16134786917740335,0.0877533419577404,0.6282140681421686
patchcore__pcb2__fold0__k1__seed4883,patchcore,pcb2,1,4883,0.18481518481518483,0.10181618051733626,0.6228181264288505,0.18481518481518483,0.10181618051733626,0.6228181264288505
patchcore__pcb2__fold0__k1__seed4884,patchcore,pcb2,1,4884,0.17612076852698993,0.09656383245548031,0.6249243065335746,0.17612076852698993,0.09656383245548031,0.6249243065335746
patchcore__pcb2__fold0__k2__seed4880,patchcore,pcb2,2,4880,0.2651162790697675,0.15281501340482573,0.5835268044891656,0.2651162790697675,0.15281501340482573,0.5835268044891656
patchcore__pcb2__fold0__k2__seed4881,patchcore,pcb2,2,4881,0.27342256214149135,0.1583610188261351,0.5738695855243332,0.27342256214149135,0.1583610188261351,0.5738695855243332
patchcore__pcb2__fold0__k2__seed4882,patchcore,pcb2,2,4882,0.30322814653609,0.17870884993587002,0.562663112426224,0.30322814653609,0.17870884993587002,0.562663112426224
patchcore__pcb2__fold0__k2__seed4883,patchcore,pcb2,2,4883,0.2571428571428571,0.14754098360655737,0.5766023997574636,0.2571428571428571,0.14754098360655737,0.5766023997574636
patchcore__pcb2__fold0__k2__seed4884,patchcore,pcb2,2,4884,0.30783159800814847,0.1819154628143392,0.5837149981941496,0.30783159800814847,0.1819154628143392,0.5837149981941496
patchcore__pcb2__fold0__k4__seed4880,patchcore,pcb2,4,4880,0.30354999142514155,0.1789324706833805,0.5415378955945577,0.30354999142514155,0.1789324706833805,0.5415378955945577
patchcore__pcb2__fold0__k4__seed4881,patchcore,pcb2,4,4881,0.33140078548718904,0.19861017709033849,0.544212838908231,0.33140078548718904,0.19861017709033849,0.544212838908231
patchcore__pcb2__fold0__k4__seed4882,patchcore,pcb2,4,4882,0.32304038004750596,0.19263456090651557,0.5330022940896961,0.32304038004750596,0.19263456090651557,0.5330022940896961
patchcore__pcb2__fold0__k4__seed4883,patchcore,pcb2,4,4883,0.3038021410114433,0.17910772578890097,0.5420568725367582,0.3038021410114433,0.17910772578890097,0.5420568725367582
patchcore__pcb2__fold0__k4__seed4884,patchcore,pcb2,4,4884,0.33203125,0.1990632318501171,0.5406927165744823,0.33203125,0.1990632318501171,0.5406927165744823
patchcore__pcb3__fold0__k1__seed4880,patchcore,pcb3,1,4880,0.30502523590081193,0.1799585706887623,0.6524147034391266,0.30502523590081193,0.1799585706887623,0.6524147034391266
patchcore__pcb3__fold0__k1__seed4881,patchcore,pcb3,1,4881,0.39160200821542673,0.2434733257661748,0.6481103087591331,0.39160200821542673,0.2434733257661748,0.6481103087591331
patchcore__pcb3__fold0__k1__seed4882,patchcore,pcb3,1,4882,0.2105811832160542,0.11768132828429945,0.6910395775055932,0.2105811832160542,0.11768132828429945,0.6910395775055932
patchcore__pcb3__fold0__k1__seed4883,patchcore,pcb3,1,4883,0.26254434870755194,0.15110851808634773,0.6622600230860384,0.26254434870755194,0.15110851808634773,0.6622600230860384
patchcore__pcb3__fold0__k1__seed4884,patchcore,pcb3,1,4884,0.24726934696723218,0.14107663749668523,0.6827806239317075,0.24726934696723218,0.14107663749668523,0.6827806239317075
patchcore__pcb3__fold0__k2__seed4880,patchcore,pcb3,2,4880,0.44308111792774374,0.28458844133099825,0.608962926729318,0.44308111792774374,0.28458844133099825,0.608962926729318
patchcore__pcb3__fold0__k2__seed4881,patchcore,pcb3,2,4881,0.4021868314713573,0.2517108003570366,0.6191856018076204,0.4021868314713573,0.2517108003570366,0.6191856018076204
patchcore__pcb3__fold0__k2__seed4882,patchcore,pcb3,2,4882,0.3761713520749665,0.23165704863973618,0.6268051744907103,0.3761713520749665,0.23165704863973618,0.6268051744907103
patchcore__pcb3__fold0__k2__seed4883,patchcore,pcb3,2,4883,0.3121471498816245,0.18493741907639188,0.6121231455159047,0.3121471498816245,0.18493741907639188,0.6121231455159047
patchcore__pcb3__fold0__k2__seed4884,patchcore,pcb3,2,4884,0.3619736282433007,0.22098156323032977,0.6199955236305229,0.3619736282433007,0.22098156323032977,0.6199955236305229
patchcore__pcb3__fold0__k4__seed4880,patchcore,pcb3,4,4880,0.4335600907029478,0.27678054429646787,0.583591310770311,0.4335600907029478,0.27678054429646787,0.583591310770311
patchcore__pcb3__fold0__k4__seed4881,patchcore,pcb3,4,4881,0.4418336788758351,0.2835600236546422,0.5893515717901595,0.4418336788758351,0.2835600236546422,0.5893515717901595
patchcore__pcb3__fold0__k4__seed4882,patchcore,pcb3,4,4882,0.4669035984007108,0.30454940596928426,0.5849624484369199,0.4669035984007108,0.30454940596928426,0.5849624484369199
patchcore__pcb3__fold0__k4__seed4883,patchcore,pcb3,4,4883,0.40766138567037125,0.25601425601425604,0.5927064496360412,0.40766138567037125,0.25601425601425604,0.5927064496360412
patchcore__pcb3__fold0__k4__seed4884,patchcore,pcb3,4,4884,0.4178674351585015,0.2641165755919854,0.5929648270812287,0.4178674351585015,0.2641165755919854,0.5929648270812287
patchcore__pcb4__fold0__k1__seed4880,patchcore,pcb4,1,4880,0.13180911462329295,0.07055441478439425,0.6092674728708958,0.13180911462329295,0.07055441478439425,0.6092674728708958
patchcore__pcb4__fold0__k1__seed4881,patchcore,pcb4,1,4881,0.08767772511848342,0.04584882280049566,0.6018931087682392,0.08767772511848342,0.04584882280049566,0.6018931087682392
patchcore__pcb4__fold0__k1__seed4882,patchcore,pcb4,1,4882,0.14836398955867178,0.08012589338404039,0.6151181828894028,0.14836398955867178,0.08012589338404039,0.6151181828894028
patchcore__pcb4__fold0__k1__seed4883,patchcore,pcb4,1,4883,0.116439454691259,0.06181880108991825,0.6188339799234313,0.116439454691259,0.06181880108991825,0.6188339799234313
patchcore__pcb4__fold0__k1__seed4884,patchcore,pcb4,1,4884,0.1745945526499573,0.09564699880972624,0.6069488791336985,0.1745945526499573,0.09564699880972624,0.6069488791336985
patchcore__pcb4__fold0__k2__seed4880,patchcore,pcb4,2,4880,0.26906963876373413,0.15544798611745364,0.558066627750658,0.26906963876373413,0.15544798611745364,0.558066627750658
patchcore__pcb4__fold0__k2__seed4881,patchcore,pcb4,2,4881,0.30188410949164596,0.17777591693183722,0.5610992931806411,0.30188410949164596,0.17777591693183722,0.5610992931806411
patchcore__pcb4__fold0__k2__seed4882,patchcore,pcb4,2,4882,0.3504931960544316,0.21248363160192055,0.5666238420630154,0.3504931960544316,0.21248363160192055,0.5666238420630154
patchcore__pcb4__fold0__k2__seed4883,patchcore,pcb4,2,4883,0.285252127435122,0.16635222705274383,0.5567525047845336,0.285252127435122,0.16635222705274383,0.5567525047845336
patchcore__pcb4__fold0__k2__seed4884,patchcore,pcb4,2,4884,0.26888353897080947,0.15532377227292482,0.5654606034144497,0.26888353897080947,0.15532377227292482,0.5654606034144497
patchcore__pcb4__fold0__k4__seed4880,patchcore,pcb4,4,4880,0.3830990340061258,0.23693413639013017,0.5180821033839843,0.3830990340061258,0.23693413639013017,0.5180821033839843
patchcore__pcb4__fold0__k4__seed4881,patchcore,pcb4,4,4881,0.352752348115563,0.2141465175027066,0.5123147566141215,0.352752348115563,0.2141465175027066,0.5123147566141215
patchcore__pcb4__fold0__k4__seed4882,patchcore,pcb4,4,4882,0.35936947762776567,0.2190435157259802,0.5325179063002423,0.35936947762776567,0.2190435157259802,0.5325179063002423
patchcore__pcb4__fold0__k4__seed4883,patchcore,pcb4,4,4883,0.34900387928200405,0.21138988450816407,0.527608597611028,0.34900387928200405,0.21138988450816407,0.527608597611028
patchcore__pcb4__fold0__k4__seed4884,patchcore,pcb4,4,4884,0.34078781701540856,0.20539134205391343,0.522321304346484,0.34078781701540856,0.20539134205391343,0.522321304346484
dinov2_single__pcb1__fold0__k1__seed4880,dinov2_single,pcb1,1,4880,0.600898827140195,0.42948918834221245,0.7608308133226318,0.600898827140195,0.42948918834221245,0.7608308133226318
dinov2_single__pcb1__fold0__k1__seed4881,dinov2_single,pcb1,1,4881,0.6446854663774403,0.47567221510883484,0.7555481296637754,0.6446854663774403,0.47567221510883484,0.7555481296637754
dinov2_single__pcb1__fold0__k1__seed4882,dinov2_single,pcb1,1,4882,0.5827371336256636,0.4111708190848396,0.7858909710133613,0.5827371336256636,0.4111708190848396,0.7858909710133613
dinov2_single__pcb1__fold0__k1__seed4883,dinov2_single,pcb1,1,4883,0.566225165562914,0.394919168591224,0.7508541104728228,0.566225165562914,0.394919168591224,0.7508541104728228
dinov2_single__pcb1__fold0__k1__seed4884,dinov2_single,pcb1,1,4884,0.6394934705184012,0.4700407213496219,0.7533574456571366,0.6394934705184012,0.4700407213496219,0.7533574456571366
dinov2_single__pcb1__fold0__k2__seed4880,dinov2_single,pcb1,2,4880,0.708675199649929,0.5487970179600136,0.6568811955458964,0.708675199649929,0.5487970179600136,0.6568811955458964
dinov2_single__pcb1__fold0__k2__seed4881,dinov2_single,pcb1,2,4881,0.6348273328434973,0.465016146393972,0.7375437889080458,0.6348273328434973,0.465016146393972,0.7375437889080458
