method,k,category,metric,mean,seed_std,ci_low,ci_high,num_categories,num_seeds,ci_resampling_unit,aggregation,uncertainty_scope
dinov2_multi,1,macro,image_auroc,0.719029702970297,0.03492431208082264,0.6934694381188119,0.7460502475247525,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,1,pcb1,image_auroc,0.8093400000000001,0.01971441097268697,0.7940400000000001,0.82454,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb2,image_auroc,0.63666,0.060967638957072946,0.5921000000000001,0.6850999999999999,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb3,image_auroc,0.6976435643564356,0.02499322523635012,0.6752638613861386,0.7104356435643564,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,1,pcb4,image_auroc,0.7324752475247525,0.0722522335734157,0.6707722772277227,0.7838816831683166,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,macro,image_auroc,0.7327922772277228,0.036940778867170045,0.7054916336633662,0.7600929207920792,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,2,pcb1,image_auroc,0.7750400000000001,0.06876262065977415,0.7166,0.8234600000000001,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb2,image_auroc,0.64704,0.042726724657993626,0.6161199999999999,0.6788200000000001,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb3,image_auroc,0.7139405940594059,0.016340443600138563,0.6998019801980198,0.726,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,2,pcb4,image_auroc,0.7951485148514852,0.05903747113270791,0.7491683168316832,0.8396435643564356,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,macro,image_auroc,0.754013316831683,0.02357410732855751,0.7349834653465347,0.7711214356435643,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi,4,pcb1,image_auroc,0.7912399999999999,0.0832937152491111,0.7253399999999999,0.85144,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb2,image_auroc,0.7041400000000001,0.02634630903940816,0.67974,0.7195199999999999,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb3,image_auroc,0.730990099009901,0.019857841998425427,0.716158415841584,0.7475841584158415,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb4,image_auroc,0.7896831683168317,0.051127825148937704,0.7502178217821782,0.8291485148514852,1,5,support_seed,within_category,support_seed_interval
